package,license,allowed,note
"package-json-from-dist","BlueOak-1.0.0","YES",""
"package-manager-detector","MIT","YES",""
"parent-module","MIT","YES",""
"parse-json","MIT","YES",""
"parse-ms","MIT","YES",""
"parse5","MIT","YES",""
"parseurl","MIT","YES",""
"path-browserify","MIT","YES",""
"path-exists","MIT","YES",""
"path-key","MIT","YES",""
"path-parse","MIT","YES",""
"path-scurry","BlueOak-1.0.0","YES",""
"path-to-regexp","MIT","YES",""
"pathe","MIT","YES",""
"pathval","MIT","YES",""
"pend","MIT","YES",""
"pg","MIT","YES",""
"pg-cloudflare","MIT","YES",""
"pg-connection-string","MIT","YES",""
"pg-int8","ISC","YES",""
"pg-pool","MIT","YES",""
"pg-protocol","MIT","YES",""
"pg-types","MIT","YES",""
"pgpass","MIT","YES",""
"picocolors","ISC","YES",""
"picomatch","MIT","YES",""
"pidtree","MIT","YES",""
"pixelmatch","ISC","YES",""
"pkce-challenge","MIT","YES",""
"pluralize","MIT","YES",""
"pngjs","MIT","YES",""
"possible-typed-array-names","MIT","YES",""
"postcss","MIT","YES",""
"postcss-selector-parser","MIT","YES",""
"postgres-array","MIT","YES",""
"postgres-bytea","MIT","YES",""
"postgres-date","MIT","YES",""
"postgres-interval","MIT","YES",""
"powershell-utils","MIT","YES",""
"prelude-ls","MIT","YES",""
"prettier","MIT","YES",""
"pretty-format","MIT","YES",""
"pretty-ms","MIT","YES",""
"progress","MIT","YES",""
"prompts","MIT","YES",""
"prop-types","MIT","YES",""
"proto3-json-serializer","Apache-2.0","YES",""
"protobufjs","BSD-3-Clause","YES",""
"proxy-addr","MIT","YES",""
"proxy-agent","MIT","YES",""
"proxy-from-env","MIT","YES",""
"pump","MIT","YES",""
"punycode","MIT","YES",""
"puppeteer","Apache-2.0","YES",""
"puppeteer-core","Apache-2.0","YES",""
"qs","BSD-3-Clause","YES",""
"queue-microtask","MIT","YES",""
"radix-ui","MIT","YES",""
"randombytes","MIT","YES",""
"range-parser","MIT","YES",""
"raw-body","MIT","YES",""
"react","MIT","YES",""
"react-day-picker","MIT","YES",""
"react-docgen","MIT","YES",""
"react-docgen-typescript","MIT","YES",""
"react-dom","MIT","YES",""
"react-hook-form","MIT","YES",""
"react-is","MIT","YES",""
"react-leaflet","Hippocratic-2.1","YES","Frontend mapping lib — Cockpit UI only"
"react-refresh","MIT","YES",""
"react-remove-scroll","MIT","YES",""
"react-remove-scroll-bar","MIT","YES",""
"react-resizable-panels","MIT","YES",""
"react-smooth","MIT","YES",""
"react-style-singleton","MIT","YES",""
"react-transition-group","BSD-3-Clause","YES",""
"recast","MIT","YES",""
"recharts","MIT","YES",""
"recharts-scale","MIT","YES",""
"rechoir","MIT","YES",""
"redent","MIT","YES",""
"redis-errors","MIT","YES",""
"redis-parser","MIT","YES",""
"refa","MIT","YES",""
"reflect.getprototypeof","MIT","YES",""
"regexp-ast-analysis","MIT","YES",""
"regexp-tree","MIT","YES",""
